
Circuit: *mat_array_06_11_13_58_58_591.cir


Circuit: *mat_array_06_11_13_58_58_591.cir
Date: Tue Jun 11 13:58:58  2019


Operating point information:

	Node	Voltage
          p                    -0                    -0                     0

 Vsource: Independent voltage source
     device                    v5                    v2                   v36
         dc                     0                     0                    -5
      acmag                     0                     0                     0
          i           -0.00029968            0.00267619             0.0097971
          p                    -0                     0            -0.0489855

 Vsource: Independent voltage source
     device                   v28                   v21                   v15
         dc                     5                    -5                     5
      acmag                     0                     0                     0
          i           -0.00862694            0.00928211           -0.00570011
          p            -0.0431347            -0.0464106            -0.0285006

 Vsource: Independent voltage source
     device                   v10                    v6                    v3
         dc                    -5                     5                     5
      acmag                     0                     0                     0
          i             0.0112009           -0.00868797           -0.00646877
          p            -0.0560045            -0.0434399            -0.0323439

 Vsource: Independent voltage source
     device                    v1
         dc                     5
      acmag                     0
          i           -0.00291061
          p            -0.0145531

CPU time since last call: 0.041 seconds.

Total CPU time: 0.041 seconds.

MacSpice memory reserved: 20971520,
MacSpice memory peak use:   727984,
MacSpice memory in use:     556688.

