
Circuit: *mat_array.cir


Circuit: *mat_array.cir
Date: Tue Mar 12 10:59:35  2019


Operating point information:

	Node	Voltage
	memrrow1007	2.836846e-02
	memrcol962	2.886727e-02
	memrrow962	2.772662e-02
	memrcol918	2.822975e-02
	memrrow918	2.697072e-02
	memrcol875	2.746470e-02
	memrrow875	2.608891e-02
	memrcol833	2.655736e-02
	memrrow833	2.506953e-02
	memrcol792	2.549278e-02
	memrrow792	2.390136e-02
	memrcol752	2.425615e-02
	memrrow752	2.257404e-02
	memrcol713	2.283316e-02
	memrrow713	2.107852e-02
	memrcol675	2.121054e-02
	memrrow675	1.940753e-02
	memrcol638	1.937660e-02
	memrrow638	1.755624e-02
	memrcol602	1.732193e-02
	memrrow602	1.552292e-02
	memrcol567	1.504029e-02
	memrrow567	1.330969e-02
	memrcol533	1.252955e-02
	memrrow533	1.092341e-02
	memrcol500	9.792897e-03
	memrrow500	8.376506e-03
	memrcol468	6.840072e-03
	memrrow468	5.687967e-03
	memrcol437	3.688897e-03
	memrrow437	2.884218e-03
	memrcol407	3.668825e-04
	memrcol1743	3.620528e-02
	memrrow1743	3.616287e-02
	memrcol1684	3.621058e-02
	memrrow1684	3.615863e-02
	memrcol1626	3.622025e-02
	memrrow1626	3.614919e-02
	memrcol1569	3.623244e-02
	memrrow1569	3.613265e-02
	memrcol1513	3.624436e-02
	memrrow1513	3.610613e-02
	memrcol1458	3.625226e-02
	memrrow1458	3.606578e-02
	memrcol1404	3.625141e-02
	memrrow1404	3.600679e-02
	memrcol1351	3.623607e-02
	memrrow1351	3.592333e-02
	memrcol1299	3.619945e-02
	memrrow1299	3.580860e-02
	memrcol1248	3.613372e-02
	memrrow1248	3.565479e-02
	memrcol1198	3.602993e-02
	memrrow1198	3.545308e-02
	memrcol1149	3.587802e-02
	memrrow1149	3.519368e-02
	memrcol1101	3.566679e-02
	memrrow1101	3.486586e-02
	memrcol1054	3.538390e-02
	memrrow1054	3.445794e-02
	memrcol1008	3.501586e-02
	memrrow1008	3.395742e-02
	memrcol963	3.454810e-02
	memrrow963	3.335106e-02
	memrcol919	3.396496e-02
	memrrow919	3.262499e-02
	memrcol876	3.324987e-02
	memrrow876	3.176493e-02
	memrcol834	3.238542e-02
	memrrow834	3.075637e-02
	memrcol793	3.135360e-02
	memrrow793	2.958491e-02
	memrcol753	3.013603e-02
	memrrow753	2.823658e-02
	memrcol714	2.871433e-02
	memrrow714	2.669830e-02
	memrcol676	2.707055e-02
	memrrow676	2.495843e-02
	memrcol639	2.518772e-02
	memrrow639	2.300733e-02
	memrcol603	2.305054e-02
	memrrow603	2.083820e-02
	memrcol568	2.064624e-02
	memrrow568	1.844784e-02
	memrcol534	1.796556e-02
	memrrow534	1.583764e-02
	memrcol501	1.500397e-02
	memrrow501	1.301464e-02
	memrcol469	1.176307e-02
	memrrow469	9.992717e-03
	memrcol438	8.252197e-03
	memrrow438	6.793754e-03
	memrcol408	4.490339e-03
	memrrow408	3.448947e-03
	memrcol379	5.081781e-04
	memrcol1685	4.139644e-02
	memrrow1685	4.137467e-02
	memrcol1627	4.140520e-02
	memrrow1627	4.137250e-02
	memrcol1570	4.142168e-02
	memrrow1570	4.136705e-02
	memrcol1514	4.144377e-02
	memrrow1514	4.135614e-02
	memrcol1459	4.146829e-02
	memrrow1459	4.133647e-02
	memrcol1405	4.149098e-02
	memrrow1405	4.130362e-02
	memrcol1352	4.150643e-02
	memrrow1352	4.125203e-02
	memrcol1300	4.150810e-02
	memrrow1300	4.117500e-02
	memrcol1249	4.148822e-02
	memrrow1249	4.106467e-02
	memrcol1199	4.143781e-02
	memrrow1199	4.091197e-02
	memrcol1150	4.134658e-02
	memrrow1150	4.070669e-02
	memrcol1102	4.120292e-02
	memrrow1102	4.043743e-02
	memrcol1055	4.099388e-02
	memrrow1055	4.009161e-02
	memrcol1009	4.070513e-02
	memrrow1009	3.965557e-02
	memrcol964	4.032095e-02
	memrrow964	3.911457e-02
	memrcol920	3.982425e-02
	memrrow920	3.845294e-02
	memrcol877	3.919664e-02
	memrrow877	3.765417e-02
	memrcol835	3.841848e-02
	memrrow835	3.670116e-02
	memrcol794	3.746904e-02
	memrrow794	3.557641e-02
	memrcol754	3.632671e-02
	memrrow754	3.426240e-02
	memrcol715	3.496923e-02
	memrrow715	3.274196e-02
	memrcol677	3.337413e-02
	memrrow677	3.099880e-02
	memrcol640	3.151915e-02
	memrrow640	2.901810e-02
	memrcol604	2.938292e-02
	memrrow604	2.678730e-02
	memrcol569	2.694571e-02
	memrrow569	2.429693e-02
	memrcol535	2.419039e-02
	memrrow535	2.154169e-02
	memrcol502	2.110363e-02
	memrrow502	1.852157e-02
	memrcol470	1.767733e-02
	memrrow470	1.524325e-02
	memrcol439	1.391027e-02
	memrrow439	1.172152e-02
	memrcol409	9.810167e-03
	memrrow409	7.980914e-03
	memrcol380	5.395920e-03
	memrrow380	4.057384e-03
	memrcol352	7.002915e-04
	memrcol1628	4.658977e-02
	memrrow1628	4.659964e-02
	memrcol1571	4.660309e-02
